Chrony,Saturnus,Caldwell G2,Difference,Saturnus,Caldwell G2,Difference
Barrel,Stock 15.5” barrel,Stock 15.5” barrel,,Stock 15.5” barrel,Stock 15.5” barrel,
Scar,Slurpee Scar,Slurpee Scar,,No Scar,No Scar,
Spring Weight,8 kg,8 kg,,8 kg,8 kg,
1,164,168,-4,177,180,-3
2,166,168,-2,173,174,-1
3,162,162,0,176,180,-4
4,Err Strike,143 Strike,,177,175,2
5,166,169,-3,176,181,-5
6,167,170,-3,178,178,0
7,168,173,-5,170,178,-8
8,164,169,-5,178,181,-3
9,165,171,-6,180,183,-3
10,168,172,-4,178,182,-4
11,164,167,-3,Err Strike,182 Strike,
12,156,157,-1,179,182,-3
13,159,162,-3,160,164,-4
14,164,169,-5,177,183,-6
15,166,172,-6,178,180,-2
16,165,169,-4,174,178,-4
17,159,161,-2,170,176,-6
18,164,169,-5,175,177,-2
19,167,173,-6,183,180,3
20,172,172,0,176,182,-6
21,169,172,-3,175,179,-4
22,170,173,-3,159,161,-2
23,160,163,-3,179,183,-4
24,173,168,5,176,180,-4
25,162,168,-6,163,168,-5
26,170,171,-1,180,185,-5
27,166,169,-3,173,180,-7
28,170,173,-3,175,177,-2
29,161,163,-2,178,181,-3
30,162,168,-6,181,180,1
,,,,,,
Min,156,157,,159,161,
Max,173,173,,183,185,
Range,17,16,,24,24,
,,,,,,
Average,165.137931034483,168.310344827586,-3.172413793103,174.965517241379,178.206896551724,-3.241379310345
Std Dev,4.05078597250878,4.14990058638123,-0.09911461387245,5.75377365995998,5.48621200533553,0.26756165462445
